subfolder,folder,dataset,gaussian_num_points,results,rl_params.reward_function,rl_params.base_model,rl_params.rl_lr,rl_params.complexity_penalty
27,20241018_163109,18Obesobeso,22223,"{'ours_30000': {'SSIM': 0.9479131698608398, 'PSNR': 31.441736221313477}}",[reward_diff_psnr_relative],not_exisiting,0.005,0.001
27,20241018_162540,01Gorilla,11184,"{'ours_30000': {'SSIM': 0.9349660873413086, 'PSNR': 28.764707565307617}}",[reward_diff_psnr_relative],not_exisiting,0.005,0.001
27,20241018_164351,20Puppy,37285,"{'ours_30000': {'SSIM': 0.9506722092628479, 'PSNR': 30.652246475219727}}",[reward_diff_psnr_relative],not_exisiting,0.005,0.001
28,20241018_162745,01Gorilla,145674,"{'ours_30000': {'SSIM': 0.9451081156730652, 'PSNR': 30.780406951904297}}",[reward_diff_psnr_relative],not_exisiting,0.001,0.001
28,20241018_164118,19Bear,1784187,"{'ours_30000': {'SSIM': 0.9574747681617737, 'PSNR': 33.548274993896484}}",[reward_diff_psnr_relative],not_exisiting,0.001,0.001
28,20241018_165455,20Puppy,1307457,"{'ours_30000': {'SSIM': 0.9582628607749939, 'PSNR': 32.974830627441406}}",[reward_diff_psnr_relative],not_exisiting,0.001,0.001
28,20241018_163401,18Obesobeso,260525,"{'ours_30000': {'SSIM': 0.9519387483596802, 'PSNR': 32.71761703491211}}",[reward_diff_psnr_relative],not_exisiting,0.001,0.001
29,20241018_164016,18Obesobeso,105999,"{'ours_30000': {'SSIM': 0.9512621760368347, 'PSNR': 32.471412658691406}}",[reward_diff_psnr_relative],not_exisiting,0.0005,0.001
29,20241018_162841,01Gorilla,54076,"{'ours_30000': {'SSIM': 0.9433560371398926, 'PSNR': 30.42058753967285}}",[reward_diff_psnr_relative],not_exisiting,0.0005,0.001
29,20241018_171016,20Puppy,346451,"{'ours_30000': {'SSIM': 0.9573067426681519, 'PSNR': 32.56855773925781}}",[reward_diff_psnr_relative],not_exisiting,0.0005,0.001
29,20241018_165331,19Bear,384428,"{'ours_30000': {'SSIM': 0.9570000171661377, 'PSNR': 33.337257385253906}}",[reward_diff_psnr_relative],not_exisiting,0.0005,0.001
